collective,num_nodes,num_gpus,size_bytes,algo,proto,nchannels,requested_algo,requested_proto,substituted,busbw_ip,time_ip_us,busbw_oop,time_oop_us,n_repeats,spread_pct,count,data_type,redop,algbw_ip,algbw_oop,errors_ip,errors_oop
all_reduce_perf,2,16,4096,RING,LL,1,RING,LL,0,0.1,74.53,0.1,74.29,3,9.999999999999995,1024,float,sum,0.02,0.02,0,0
all_reduce_perf,2,16,4096,RING,LL,2,RING,LL,0,0.11,72.18,0.1,75.63,3,9.090909090909086,1024,float,sum,0.02,0.02,0,0
all_reduce_perf,2,16,4096,RING,LL,4,RING,LL,0,0.11,73.11,0.1,75.38,3,9.090909090909086,1024,float,sum,0.02,0.02,0,0
all_reduce_perf,2,16,4096,RING,LL,8,RING,LL,0,0.11,72.96,0.1,73.91,3,9.090909090909086,1024,float,sum,0.02,0.02,0,0
all_reduce_perf,2,16,4096,RING,LL,16,RING,LL,0,0.1,75.57,0.1,74.14,3,9.999999999999995,1024,float,sum,0.02,0.02,0,0
all_reduce_perf,2,16,4096,RING,LL,24,RING,LL,0,0.11,72.29,0.1,74.32,3,0.0,1024,float,sum,0.02,0.02,0,0
all_reduce_perf,2,16,4096,RING,LL,32,RING,LL,0,0.11,72.03,0.1,75.03,3,9.090909090909086,1024,float,sum,0.02,0.02,0,0
all_reduce_perf,2,16,4096,RING,LL,40,RING,LL,0,0.11,72.26,0.1,73.51,3,9.090909090909086,1024,float,sum,0.02,0.02,0,0
all_reduce_perf,2,16,4096,RING,LL,48,RING,LL,0,0.1,73.15,0.1,74.58,3,9.999999999999995,1024,float,sum,0.02,0.02,0,0
all_reduce_perf,2,16,4096,RING,LL128,1,RING,LL128,0,0.09,90.12,0.08,90.68,3,11.111111111111107,1024,float,sum,0.02,0.02,0,0
all_reduce_perf,2,16,4096,RING,LL128,2,RING,LL128,0,0.08,90.51,0.08,91.44,3,12.499999999999993,1024,float,sum,0.02,0.02,0,0
